date,rank,artist_name,album_name,song_name,keyword
Dec-90,1,권인하,권인하 Best (마르지 않을 슬픔이 이 내 가슴 가득히),계절이 음악처럼 흐를 때,"#남성솔로, #발라드, #이별, #사랑, #, 그리움, #차분한, #애절한, #감성적인"
Dec-90,2,박학기,박학기 Vol II,자꾸 서성이게 돼,"#남성솔로, #포크팝, #그리움, #사랑, #이별, #아련한, #감성적, #잔잔한"
Dec-90,3,김현식,넋두리,넋두리,"#남성솔로, #발라드, #이별, #사랑, #고독, #차분한, #쓸쓸한, #절절한"
Dec-90,4,민해경,Jump '90,보고싶은 얼굴,"#여성솔로, #댄스팝, #이별, #그리움, #외로움, #감성적인, #서정적인, #감미로운"
Dec-90,5,이승철,"노을, 그리고 나/Ballerina-Girl",그대가 나에게,"#남성솔로, #발라드, #이별, #사랑, #미안함, #차분한, #감성적인, #서정적인"
Dec-90,6,신해철,슬픈 표정 하지 말아요,안녕,"#남성솔로, #댄스팝, #이별, #환상, #거짓말, #감성적, #영어랩, #차분한"
Dec-90,7,김완선,삐에로는 우릴 보고 웃지,나만의 것,"#여성솔로, #댄스, #이별, #그리움, #자아성찰, #감성적, #차분한, #몽환적"
Dec-90,8,이선희,추억의 책장을 넘기면,추억의 책장을 넘기면,"#여성솔로, #발라드, #추억, #그리움, #아쉬움, #감성적, #차분한, #잔잔한, #서정적"
Dec-90,9,양수경,양수경 골든,당신은 어디 있나요,"#여성솔로, #발라드, #이별, #사랑, #외로움, #차분한, #감성적인, #슬픈"
Dec-90,10,이상우,나만의 그대/그녀를 만나는 곳 100M전/그 언젠가처럼,그녀를 만나는 곳 100M 전,"#남성솔로, #발라드, #사랑, #고백, #이별, #차분한, #감성적인, #로맨틱한"
Dec-90,11,015B,공일오비,텅 빈 거리에서,"#남성듀오, #팝발라드, #외로움, #도시, #그리움, #감성적, #잔잔한, #서정적"
Dec-90,12,11월,11월,착각,"#여성솔로, #발라드, #이별, #사랑, #회상, #차분한, #감성적인, #아련한"
Dec-90,13,조동진,조동진 Vol. 4.,음악은 흐르고,"#남성솔로, #포크, #자연, #시간, #흐름, #잔잔한, #서정적인, #평화로운"
Dec-90,14,전유나,너를 사랑하고도/사진속의 그대는,너를 사랑하고도,"#여성솔로, #발라드, #이별, #사랑, #외로움, #차분한, #애절한, #감성적인"
Dec-90,15,이승환,B.C 603,기다린 날도 지워질 날도,"#남성솔로, #발라드, #이별, #추억, #그리움, #감성적인, #잔잔한, #서정적인"
Dec-90,16,봄여름가을겨울,나의 아름다운 노래가 당신의 마음을 깨끗하게 할 수 있다면…,내 품에 안기어,"#남성그룹, #록, #사랑, #추억, #위로, #감성적, #잔잔한, #따뜻한"
Dec-90,17,김지애,5집,몰래한 사랑,"#여성솔로, #트로트, #사랑, #이별, #회상, #감성적인, #차분한, #아련한, #감미로운"
Dec-90,18,푸른하늘,푸른하늘 3집 - 이 밤이 지나도록,이 밤이 지나도록,"#남성그룹, #발라드, #이별, #사랑, #, 그리움, #차분한, #감성적인, #슬픈"
Dec-90,19,장혜리,남겨진 시간을 위하여 / 그대 돌아오는 날엔,남겨진 시간을 위하여,"#여성솔로, #발라드, #이별, #시간, #그리움, #차분한, #감성적인, #잔잔한"
Dec-90,20,하덕규,쉼,쉼,"#남성솔로, #포크, #영적성찰, #자유, #평화, #차분한, #서정적, #명상적"
Dec-90,21,김민우,사랑일뿐야,입영열차안에서,"#남성솔로, #발라드, #군대, #이별, #사랑, #고난, #차분한, #감성적인, #어두운"
Dec-90,22,강수지,보라빛 향기,보라빛 향기,"#여성솔로, #발라드, #사랑, #이별, #기억, #차분한, #감성적인, #풋풀한"
Dec-90,23,신해철,슬픈 표정 하지 말아요,슬픈 표정 하지 말아요,"#남성솔로, #발라드, #사랑, #이별, #희망, #차분한, #감미로운, #감성적인"
Dec-90,24,엄인호,Sings The Blues,첫사랑,"#남성솔로, #블루스, #이별, #사랑, #추억, #차분한, #슬픈, #감성적인"
Dec-90,25,변진섭,너에게로 또 다시,로라,"#남성솔로, #발라드, #사랑, #그리움, #추억, #감성적인, #잔잔한, #따뜻한"
Dec-90,26,김지연,김지연 1집,찬바람이 불면,"#여성솔로, #발라드, #이별, #사랑, #회상, #차분한, #감성적인, #잔잔한"
Dec-90,27,빛과 소금,빛과 소금,샴푸의 요정,"#남성듀오, #퓨전재즈, #사랑, #요정, #환상, #차분한, #낭만적인, #몽환적인"
Dec-90,28,Various Artists,사랑으로 가는 길,사랑으로 가는 길,"#여성솔로, #발라드, #사랑, #이별, #연애, #감성적인, #차분한, #따뜻한"
Dec-90,29,변진섭,미워서 미워질때,어떤 이별,"#남성솔로, #발라드, #이별, #사랑, #아픔, #차분한, #감성적인, #애절한"
Dec-90,30,최진영,최진영 1,너를 잊겠다는 생각은,"#남성솔로, #발라드, #이별, #추억, #그리움, #감성적인, #차분한, #잔잔한"
Dec-90,31,주현미,'90 주현미(周炫美),잠깐만,"#여성솔로, #트로트, #이별, #사랑, #추억, #감성적, #차분한, #서정적"
Dec-90,32,김상아,김상아 2,엔젤리나,"#여성솔로, #가요, #사랑, #미소, #요정, #잔잔한, #상큼한, #부드러운"
Dec-90,33,김지연,김지연 1집,계절이 끝나갈 무렵,"#여성솔로, #발라드, #계절, #이별, #추억, #차분한, #감성적, #우울한"
Dec-90,34,송시현,송시현 3,날 사랑하지마,"#여성솔로, #가요, #이별, #사랑, #희망, #차분한, #감성적인, #화려한"
Dec-90,35,이치현,이치현 Vol.1,외면,"#남성솔로, #록발라드, #이별, #외면, #상처, #감성적인, #차분한, #서정적인, #진중한"
Dec-90,36,이승환,B.C 603,텅 빈 마음,"#남성솔로, #팝, #이별, #허전함, #추억, #감성적, #차분한, #서정적"
Dec-90,37,최용준,아마도 그건,거울이 되어,"#남성솔로, #발라드, #사랑, #거울, #영원한사랑, #잔잔한, #감성적인, #허스키보컬"
Dec-90,38,조용필,조용필'90ㆍConcert,Overture/추억속의 재회/마도요,"#남성솔로, #발라드, #이별, #사랑, #추억, #차분한, #감성적인, #화려한"
Dec-90,39,박선주 (Pak Sun Zoo),하루 이틀 그리고...,소중한 너 (Duet With 조규찬),"#여성솔로, #발라드, #사랑, #소중함, #연애, #차분한, #감성적인, #듀엣"
Dec-90,40,이상훈,사랑은 기다림으로/그대,사랑은 기다림으로,"#남성솔로, #발라드, #이별, #사랑, #기다림, #차분한, #감성적인, #슬픈"
Dec-90,41,백미현,백미현 3집,다시 사랑할 수 있다면,"#여성솔로, #발라드, #이별, #사랑, #추억, #차분한, #감성적인, #아련한"
Dec-90,42,홍성민,기억날 그날이 와도,기억날 그날이 와도,"#남성솔로, #발라드, #이별, #추억, #후회, #잔잔한, #애절한, #서정적인"
Dec-90,43,최성수,최성수 5집 비창,이제 아침이 왔어요,"#남성솔로, #발라드, #사랑, #이별, #회상, #차분한, #감성적인, #부드러운"
Dec-90,44,이정현,이정현 Ⅱ,한 여름의 크리스마스,"#여성솔로, #댄스, #여름, #크리스마스, #이별, #신나는, #몽환적인, #화려한"
Dec-90,45,진시몬,슬픔의 거리/세월의 그림자,낯설은 아쉬움,"#남성솔로, #록발라드, #이별, #그리움, #후회, #애절한, #서정적인, #감성적인"
Dec-90,46,박영미,박영미 1집,나는 외로움 그대는 그리움,"#여성솔로, #팝발라드, #외로움, #그리움, #사랑, #감성적, #차분한, #서정적"
Dec-90,47,김완선,삐에로는 우릴 보고 웃지,삐에로는 우릴 보고 웃지,"#여성솔로, #댄스, #삐에로, #눈물, #가면, #신나는, #화려한, #리드미컬한"
Dec-90,48,Various Artists,겨레의 노래,아침,"#여러아티스트, #민중가요, #저항, #민족, #아침, #차분한, #전통적, #감성적"
Dec-90,49,박성신,박성신 1집,한번만 더,"#남성솔로, #발라드, #이별, #연애, #사랑, #애절한, #감성적인, #잔잔한"
Dec-90,50,신승훈,미소 속에 비친 그대,미소 속에 비친 그대,"#남성솔로, #발라드, #이별, #추억, #사랑, #감성적인, #차분한, #애절한"
Jan-91,1,김현식,넋두리,넋두리,"#남성솔로, #발라드, #이별, #사랑, #고독, #차분한, #쓸쓸한, #절절한"
Jan-91,2,양수경,양수경 골든,당신은 어디 있나요,"#여성솔로, #발라드, #이별, #사랑, #외로움, #차분한, #감성적인, #슬픈"
Jan-91,3,이승철,"노을, 그리고 나/Ballerina-Girl",그대가 나에게,"#남성솔로, #발라드, #이별, #사랑, #미안함, #차분한, #감성적인, #서정적인"
Jan-91,4,신해철,슬픈 표정 하지 말아요,안녕,"#남성솔로, #댄스팝, #이별, #환상, #거짓말, #감성적, #영어랩, #차분한"
Jan-91,5,이상우,나만의 그대/그녀를 만나는 곳 100M전/그 언젠가처럼,그녀를 만나는 곳 100M 전,"#남성솔로, #발라드, #사랑, #고백, #이별, #차분한, #감성적인, #로맨틱한"
Jan-91,6,이선희,추억의 책장을 넘기면,추억의 책장을 넘기면,"#여성솔로, #발라드, #추억, #그리움, #아쉬움, #감성적, #차분한, #잔잔한, #서정적"
Jan-91,7,권인하,권인하 Best (마르지 않을 슬픔이 이 내 가슴 가득히),계절이 음악처럼 흐를 때,"#남성솔로, #발라드, #이별, #사랑, #, 그리움, #차분한, #애절한, #감성적인"
Jan-91,8,이승환,B.C 603,기다린 날도 지워질 날도,"#남성솔로, #발라드, #이별, #추억, #그리움, #감성적인, #잔잔한, #서정적인"
Jan-91,9,신승훈,미소 속에 비친 그대,미소 속에 비친 그대,"#남성솔로, #발라드, #이별, #추억, #사랑, #감성적인, #차분한, #애절한"
Jan-91,10,015B,공일오비,텅 빈 거리에서,"#남성듀오, #팝발라드, #외로움, #도시, #그리움, #감성적, #잔잔한, #서정적"
Jan-91,11,김지애,5집,몰래한 사랑,"#여성솔로, #트로트, #사랑, #이별, #회상, #감성적인, #차분한, #아련한, #감미로운"
Jan-91,12,변진섭,미워서 미워질때,어떤 이별,"#남성솔로, #발라드, #이별, #사랑, #아픔, #차분한, #감성적인, #애절한"
Jan-91,13,주현미,'90 주현미(周炫美),잠깐만,"#여성솔로, #트로트, #이별, #사랑, #추억, #감성적, #차분한, #서정적"
Jan-91,14,하덕규,쉼,쉼,"#남성솔로, #포크, #영적성찰, #자유, #평화, #차분한, #서정적, #명상적"
Jan-91,15,박학기,박학기 Vol II,자꾸 서성이게 돼,"#남성솔로, #포크팝, #그리움, #사랑, #이별, #아련한, #감성적, #잔잔한"
Jan-91,16,민해경,Jump '90,보고싶은 얼굴,"#여성솔로, #댄스팝, #이별, #그리움, #외로움, #감성적인, #서정적인, #감미로운"
Jan-91,17,푸른하늘,푸른하늘 3집 - 이 밤이 지나도록,이 밤이 지나도록,"#남성그룹, #발라드, #이별, #사랑, #, 그리움, #차분한, #감성적인, #슬픈"
Jan-91,18,김완선,삐에로는 우릴 보고 웃지,나만의 것,"#여성솔로, #댄스, #이별, #그리움, #자아성찰, #감성적, #차분한, #몽환적"
Jan-91,19,봄여름가을겨울,나의 아름다운 노래가 당신의 마음을 깨끗하게 할 수 있다면…,내 품에 안기어,"#남성밴드, #록, #사랑, #추억, #위로, #감성적, #잔잔한, #따뜻한"
Jan-91,20,11월,11월,착각,"#여성솔로, #발라드, #이별, #사랑, #회상, #차분한, #감성적인, #아련한"
Jan-91,21,전유나,너를 사랑하고도/사진속의 그대는,너를 사랑하고도,"#여성솔로, #발라드, #이별, #사랑, #외로움, #차분한, #애절한, #감성적인"
Jan-91,22,조동진,조동진 Vol. 4.,음악은 흐르고,"#남성솔로, #포크, #자연, #시간, #흐름, #잔잔한, #서정적인, #평화로운"
Jan-91,23,최성수,최성수 5집 비창,이제 아침이 왔어요,"#남성솔로, #발라드, #사랑, #이별, #회상, #차분한, #감성적인, #부드러운"
Jan-91,24,송시현,송시현 3,날 사랑하지마,"#여성솔로, #가요, #이별, #사랑, #희망, #차분한, #감성적인, #화려한"
Jan-91,25,조용필,조용필'90ㆍConcert,Overture/추억속의 재회/마도요,"#남성솔로, #발라드, #이별, #사랑, #추억, #차분한, #감성적인, #화려한"
Jan-91,26,장혜리,남겨진 시간을 위하여 / 그대 돌아오는 날엔,남겨진 시간을 위하여,"#여성솔로, #발라드, #이별, #시간, #그리움, #차분한, #감성적인, #잔잔한"
Jan-91,27,김민우,사랑일뿐야,입영열차안에서,"#남성솔로, #발라드, #군대, #이별, #사랑, #고난, #차분한, #감성적인, #어두운"
Jan-91,28,김완선,삐에로는 우릴 보고 웃지,삐에로는 우릴 보고 웃지,"#여성솔로, #댄스, #삐에로, #눈물, #가면, #신나는, #화려한, #리드미컬한"
Jan-91,29,이상훈,사랑은 기다림으로/그대,사랑은 기다림으로,"#남성솔로, #발라드, #이별, #사랑, #기다림, #차분한, #감성적인, #슬픈"
Jan-91,30,강수지,보라빛 향기,보라빛 향기,"#여성솔로, #발라드, #사랑, #이별, #기억, #차분한, #감성적인, #풋풀한"
Jan-91,31,신해철,슬픈 표정 하지 말아요,슬픈 표정 하지 말아요,"#남성솔로, #발라드, #사랑, #이별, #희망, #차분한, #감미로운, #감성적인"
Jan-91,32,김지연,김지연 1집,찬바람이 불면,"#여성솔로, #발라드, #이별, #사랑, #회상, #차분한, #감성적인, #잔잔한"
